     *      | -0.1000E+02 |  0.0000E+00 |  0.1000E+02 | 
-0.8804E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.8795E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.8786E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.8777E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.8768E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
-0.8759E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.8750E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.8741E+04 |  0.9100E+00 |  0.0000E+00 |  0.9100E+00 | 
-----------   -----------   -----------   -----------
-0.8732E+04 |  0.4974E+01 |  0.0000E+00 |  0.4974E+01 | 
-----------   -----------   -----------   -----------
-0.8723E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.8714E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.8705E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.8696E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.8687E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.8678E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.8669E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.8660E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.8651E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.8642E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.8633E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.8624E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.8615E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.8606E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.8597E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.8588E+04 |  0.2820E+00 |  0.0000E+00 |  0.2820E+00 | 
-----------   -----------   -----------   -----------
-0.8579E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.8570E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
