     *      | -0.1000E+02 |  0.0000E+00 |  0.1000E+02 | 
-0.3017E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.3008E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
-0.2999E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.2990E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.2981E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
-0.2972E+04 |  0.4976E+01 |  0.0000E+00 |  0.4976E+01 | 
-----------   -----------   -----------   -----------
-0.2963E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.2954E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.2945E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.2936E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.2927E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.2918E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.2909E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.2900E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.2891E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.2882E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.2873E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.2864E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.2855E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.2846E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.2837E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.2828E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
-0.2819E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.2810E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.2801E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
-0.2792E+04 |  0.4975E+01 |  0.0000E+00 |  0.4975E+01 | 
-----------   -----------   -----------   -----------
-0.2783E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.2774E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.2765E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.2756E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.2747E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.2738E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.2729E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.2720E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.2711E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.2702E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.2693E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.2684E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.2675E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.2666E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.2657E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.2648E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
-0.2639E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.2630E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.2621E+04 |  0.9100E+00 |  0.0000E+00 |  0.9100E+00 | 
-----------   -----------   -----------   -----------
-0.2612E+04 |  0.4975E+01 |  0.0000E+00 |  0.4975E+01 | 
-----------   -----------   -----------   -----------
-0.2603E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.2594E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.2585E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.2576E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.2567E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.2558E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.2549E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.2540E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.2531E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.2522E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.2513E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.2504E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.2495E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.2486E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.2477E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.2468E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
-0.2459E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.2450E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.2441E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
-0.2432E+04 |  0.4976E+01 |  0.0000E+00 |  0.4976E+01 | 
-----------   -----------   -----------   -----------
-0.2423E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.2414E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.2405E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.2396E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.2387E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.2378E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.2369E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.2360E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.2351E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.2342E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.2333E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.2324E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.2315E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.2306E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.2297E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.2288E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
-0.2279E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.2270E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.2261E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
-0.2252E+04 |  0.4975E+01 |  0.0000E+00 |  0.4975E+01 | 
-----------   -----------   -----------   -----------
-0.2243E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.2234E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.2225E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.2216E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.2207E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.2198E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.2189E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.2180E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.2171E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.2162E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.2153E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.2144E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.2135E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.2126E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.2117E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.2108E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
-0.2099E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.2090E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.2081E+04 |  0.9100E+00 |  0.0000E+00 |  0.9100E+00 | 
-----------   -----------   -----------   -----------
-0.2072E+04 |  0.4975E+01 |  0.0000E+00 |  0.4975E+01 | 
-----------   -----------   -----------   -----------
-0.2063E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.2054E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.2045E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.2036E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.2027E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.2018E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.2009E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.2000E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.1991E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.1982E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.1973E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.1964E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.1955E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.1946E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.1937E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.1928E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
-0.1919E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.1910E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.1901E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
-0.1892E+04 |  0.4976E+01 |  0.0000E+00 |  0.4976E+01 | 
-----------   -----------   -----------   -----------
-0.1883E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.1874E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.1865E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.1856E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.1847E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.1838E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.1829E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.1820E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.1811E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.1802E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.1793E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.1784E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.1775E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.1766E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.1757E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.1748E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
-0.1739E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.1730E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.1721E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
-0.1712E+04 |  0.4976E+01 |  0.0000E+00 |  0.4976E+01 | 
-----------   -----------   -----------   -----------
-0.1703E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.1694E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.1685E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.1676E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.1667E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.1658E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.1649E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.1640E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.1631E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.1622E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.1613E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.1604E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.1595E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.1586E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
-----------   -----------   -----------   -----------
-0.1577E+04 |  0.2374E+00 |  0.0000E+00 |  0.2374E+00 | 
-----------   -----------   -----------   -----------
-0.1568E+04 |  0.2821E+00 |  0.0000E+00 |  0.2821E+00 | 
-----------   -----------   -----------   -----------
-0.1559E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.1550E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.1541E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
